Vulnerability,URL
Absence of Anti-CSRF Tokens,https://homework-600200124830.us-central1.run.app/
Absence of Anti-CSRF Tokens,https://homework-600200124830.us-central1.run.app/home
Absence of Anti-CSRF Tokens,https://homework-600200124830.us-central1.run.app/piano
Absence of Anti-CSRF Tokens,https://homework-600200124830.us-central1.run.app/projects
Absence of Anti-CSRF Tokens,https://homework-600200124830.us-central1.run.app/resume
Absence of Anti-CSRF Tokens,https://homework-600200124830.us-central1.run.app/processfeedback
Content Security Policy (CSP) Header Not Set,https://homework-600200124830.us-central1.run.app/
Content Security Policy (CSP) Header Not Set,https://homework-600200124830.us-central1.run.app/home
Content Security Policy (CSP) Header Not Set,https://homework-600200124830.us-central1.run.app/piano
Content Security Policy (CSP) Header Not Set,https://homework-600200124830.us-central1.run.app/piano.html
Content Security Policy (CSP) Header Not Set,https://homework-600200124830.us-central1.run.app/processfeedback
Content Security Policy (CSP) Header Not Set,https://homework-600200124830.us-central1.run.app/projects
Content Security Policy (CSP) Header Not Set,https://homework-600200124830.us-central1.run.app/resume
Content Security Policy (CSP) Header Not Set,https://homework-600200124830.us-central1.run.app/robots.txt
Content Security Policy (CSP) Header Not Set,https://homework-600200124830.us-central1.run.app/sitemap.xml
Content Security Policy (CSP) Header Not Set,https://homework-600200124830.us-central1.run.app/processfeedback
Missing Anti-clickjacking Header,https://homework-600200124830.us-central1.run.app/piano
Missing Anti-clickjacking Header,https://homework-600200124830.us-central1.run.app/projects
Missing Anti-clickjacking Header,https://homework-600200124830.us-central1.run.app/resume
Missing Anti-clickjacking Header,https://homework-600200124830.us-central1.run.app/processfeedback
Insufficient Site Isolation Against Spectre Vulnerability,https://homework-600200124830.us-central1.run.app/
Insufficient Site Isolation Against Spectre Vulnerability,https://homework-600200124830.us-central1.run.app/home
Insufficient Site Isolation Against Spectre Vulnerability,https://homework-600200124830.us-central1.run.app/projects
Insufficient Site Isolation Against Spectre Vulnerability,https://homework-600200124830.us-central1.run.app/static/main/css/header.css
Insufficient Site Isolation Against Spectre Vulnerability,https://homework-600200124830.us-central1.run.app/
Insufficient Site Isolation Against Spectre Vulnerability,https://homework-600200124830.us-central1.run.app/home
Insufficient Site Isolation Against Spectre Vulnerability,https://homework-600200124830.us-central1.run.app/projects
Insufficient Site Isolation Against Spectre Vulnerability,https://homework-600200124830.us-central1.run.app/
Insufficient Site Isolation Against Spectre Vulnerability,https://homework-600200124830.us-central1.run.app/home
Insufficient Site Isolation Against Spectre Vulnerability,https://homework-600200124830.us-central1.run.app/projects
Permissions Policy Header Not Set,https://homework-600200124830.us-central1.run.app/
Permissions Policy Header Not Set,https://homework-600200124830.us-central1.run.app/home
Permissions Policy Header Not Set,https://homework-600200124830.us-central1.run.app/piano.html
Permissions Policy Header Not Set,https://homework-600200124830.us-central1.run.app/processfeedback
Permissions Policy Header Not Set,https://homework-600200124830.us-central1.run.app/projects
Permissions Policy Header Not Set,https://homework-600200124830.us-central1.run.app/robots.txt
Permissions Policy Header Not Set,https://homework-600200124830.us-central1.run.app/sitemap.xml
Permissions Policy Header Not Set,https://homework-600200124830.us-central1.run.app/static/main/js/main.js
Permissions Policy Header Not Set,https://homework-600200124830.us-central1.run.app/static/main/js/navbar.js
Permissions Policy Header Not Set,https://homework-600200124830.us-central1.run.app/static/piano/js/piano.js
