Vulnerability,URL
Content Security Policy (CSP) Header Not Set,https://juice-shop.herokuapp.com/
Content Security Policy (CSP) Header Not Set,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/index.js:328:13
Content Security Policy (CSP) Header Not Set,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/layer.js:95:5
Content Security Policy (CSP) Header Not Set,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/styles.css
Content Security Policy (CSP) Header Not Set,https://juice-shop.herokuapp.com/ftp
Content Security Policy (CSP) Header Not Set,https://juice-shop.herokuapp.com/ftp/coupons_2013.md.bak
Content Security Policy (CSP) Header Not Set,https://juice-shop.herokuapp.com/ftp/eastere.gg
Content Security Policy (CSP) Header Not Set,https://juice-shop.herokuapp.com/ftp/encrypt.pyc
Content Security Policy (CSP) Header Not Set,https://juice-shop.herokuapp.com/ftp/package.json.bak
Content Security Policy (CSP) Header Not Set,https://juice-shop.herokuapp.com/ftp/suspicious_errors.yml
Content Security Policy (CSP) Header Not Set,https://juice-shop.herokuapp.com/sitemap.xml
Cross-Domain Misconfiguration,https://juice-shop.herokuapp.com/
Cross-Domain Misconfiguration,https://juice-shop.herokuapp.com/assets/public/favicon_js.ico
Cross-Domain Misconfiguration,https://juice-shop.herokuapp.com/ftp
Cross-Domain Misconfiguration,https://juice-shop.herokuapp.com/ftp/acquisitions.md
Cross-Domain Misconfiguration,https://juice-shop.herokuapp.com/ftp/coupons_2013.md.bak
Cross-Domain Misconfiguration,https://juice-shop.herokuapp.com/ftp/eastere.gg
Cross-Domain Misconfiguration,https://juice-shop.herokuapp.com/main.js
Cross-Domain Misconfiguration,https://juice-shop.herokuapp.com/polyfills.js
Cross-Domain Misconfiguration,https://juice-shop.herokuapp.com/runtime.js
Cross-Domain Misconfiguration,https://juice-shop.herokuapp.com/sitemap.xml
Cross-Domain Misconfiguration,https://juice-shop.herokuapp.com/styles.css
Cross-Domain Misconfiguration,https://juice-shop.herokuapp.com/vendor.js
Cross-Domain JavaScript Source File Inclusion,https://juice-shop.herokuapp.com/
Cross-Domain JavaScript Source File Inclusion,https://juice-shop.herokuapp.com/
Cross-Domain JavaScript Source File Inclusion,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/index.js:328:13
Cross-Domain JavaScript Source File Inclusion,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/index.js:328:13
Cross-Domain JavaScript Source File Inclusion,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/layer.js:95:5
Cross-Domain JavaScript Source File Inclusion,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/layer.js:95:5
Cross-Domain JavaScript Source File Inclusion,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/styles.css
Cross-Domain JavaScript Source File Inclusion,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/styles.css
Cross-Domain JavaScript Source File Inclusion,https://juice-shop.herokuapp.com/sitemap.xml
Cross-Domain JavaScript Source File Inclusion,https://juice-shop.herokuapp.com/sitemap.xml
Dangerous JS Functions,https://juice-shop.herokuapp.com/main.js
Dangerous JS Functions,https://juice-shop.herokuapp.com/vendor.js
Deprecated Feature Policy Header Set,https://juice-shop.herokuapp.com/
Deprecated Feature Policy Header Set,https://juice-shop.herokuapp.com/ftp
Deprecated Feature Policy Header Set,https://juice-shop.herokuapp.com/ftp/coupons_2013.md.bak
Deprecated Feature Policy Header Set,https://juice-shop.herokuapp.com/ftp/eastere.gg
Deprecated Feature Policy Header Set,https://juice-shop.herokuapp.com/ftp/encrypt.pyc
Deprecated Feature Policy Header Set,https://juice-shop.herokuapp.com/ftp/package.json.bak
Deprecated Feature Policy Header Set,https://juice-shop.herokuapp.com/main.js
Deprecated Feature Policy Header Set,https://juice-shop.herokuapp.com/polyfills.js
Deprecated Feature Policy Header Set,https://juice-shop.herokuapp.com/runtime.js
Deprecated Feature Policy Header Set,https://juice-shop.herokuapp.com/sitemap.xml
Deprecated Feature Policy Header Set,https://juice-shop.herokuapp.com/vendor.js
